pid,BQ2,BQ3_n2,BQ4,B3,B5_1,B5_2,B5_3,B5_4,B5_5,E5_1,E5_2,E5_3,E5_4,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,J1_1,J1_2,J1_3,J1_4,J1_5,J1_6,J1_7,J2_1,J2_2,J2_3,J2_4,J2_5,J2_6,J2_7,J2_8,J2_9,J2_10,K1,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,BQ7,BQ9,BQ12_1,BQ12_2
252604,1,6,4,3,4,4,4,5,3,3,3,2,3,7,7,5,3,6,6,6,30,60,50,30,20,30,40,2,2,2,1,2,1,1,2,1,1,4,6,4,3,2,2,5,4,6,7,6,4,5,5,6,5,6,7,5,4,2,2,2,2,2,1,2,4,4
253067,2,6,4,1,1,4,3,5,3,3,3,2,4,7,7,7,6,7,7,6,85,90,95,60,0,0,20,1,1,1,1,1,1,1,1,1,1,5,5,4,3,5,3,4,4,7,7,6,4,5,4,6,6,7,5,7,7,1,1,1,1,1,1,2,6,1
254296,1,5,2,2,2,2,2,5,2,1,1,3,2,7,7,6,4,4,5,7,75,50,50,50,25,50,50,1,1,1,1,1,1,1,2,1,1,5,6,4,3,5,3,6,4,3,6,5,6,2,1,5,3,7,5,7,7,4,3,1,2,1,1,4,5,1
254352,1,5,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,50,50,50,50,50,50,50,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1
254916,1,5,2,3,4,4,5,5,4,2,2,4,3,6,6,4,4,5,4,5,70,50,50,20,0,30,30,1,1,1,1,1,1,1,2,2,2,6,4,4,5,5,3,5,6,5,5,6,6,6,5,5,5,5,6,6,6,3,2,2,2,2,1,5,6,1
254984,1,6,2,3,4,4,3,4,3,3,3,3,3,6,6,6,4,4,4,4,75,75,75,50,25,50,50,1,1,1,1,1,1,1,1,1,1,4,7,4,6,6,5,6,5,6,6,4,4,5,5,4,4,5,6,6,5,3,2,3,3,3,1,1,3,1
255453,2,3,2,2,5,5,4,5,3,4,3,3,2,6,6,5,5,6,6,5,40,30,20,40,50,50,50,2,1,1,2,1,1,1,2,1,1,5,6,5,3,5,2,4,4,5,6,5,5,5,4,6,3,5,2,4,4,2,1,2,2,2,2,1,3,1
255674,1,6,4,2,2,2,3,4,3,4,5,4,3,7,6,7,5,5,4,4,75,75,50,75,50,50,50,2,2,1,2,2,1,2,2,2,2,3,6,2,1,5,3,3,3,5,5,4,4,2,2,5,4,4,3,4,5,3,2,2,3,4,1,4,7,9
256278,1,5,4,2,3,3,4,5,2,4,4,4,4,6,6,4,3,6,5,6,75,25,75,25,25,50,25,1,1,1,1,1,1,1,1,1,1,4,7,4,2,4,2,6,6,6,6,6,6,7,5,6,6,6,5,4,4,2,2,3,2,2,1,3,4,4
257883,2,6,2,3,4,4,4,5,5,5,5,3,3,4,6,4,4,4,5,5,30,30,10,10,0,10,10,1,1,1,1,1,1,1,1,1,1,6,3,2,4,4,3,5,4,4,4,4,4,5,4,5,4,5,5,5,5,2,2,2,2,3,2,1,1,1
258257,2,6,2,3,3,2,2,3,2,3,3,4,3,6,6,6,4,5,4,4,50,50,50,50,25,50,50,2,2,1,1,1,1,1,2,2,2,7,6,3,4,5,3,4,3,5,5,4,3,4,4,4,3,4,3,4,4,3,3,2,2,2,1,2,4,8
258562,2,6,2,3,4,4,4,4,4,4,4,4,3,7,7,7,7,6,5,5,50,60,60,50,10,10,50,1,1,1,1,1,1,1,1,1,1,6,6,6,4,4,4,5,5,6,6,6,6,6,5,6,6,6,7,7,6,2,3,2,2,2,1,2,3,4
258640,1,6,2,2,4,4,4,5,4,4,4,4,2,7,6,6,5,6,6,6,40,70,70,50,30,30,40,2,2,2,1,1,1,1,2,2,2,5,6,3,2,3,1,4,2,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,2,2,1,1,1,1
260041,1,3,4,3,5,5,5,5,5,3,3,4,3,7,7,7,7,7,6,7,50,75,75,50,0,50,50,1,1,1,1,1,1,1,1,1,1,5,7,6,2,5,4,5,2,7,7,6,6,6,4,6,6,7,6,5,4,1,1,1,1,1,2,3,3,1
260496,2,6,2,3,4,3,5,5,3,4,4,3,5,7,7,7,2,6,6,4,50,30,0,5,0,0,0,1,1,1,1,1,1,1,1,1,1,6,6,3,2,2,2,5,4,7,7,6,4,4,4,6,6,6,6,6,6,3,2,2,2,2,1,2,4,3
262912,2,3,2,2,4,3,4,4,3,3,1,3,4,7,7,6,4,5,4,6,50,100,50,50,50,50,25,2,2,2,2,2,1,1,1,1,1,3,2,5,3,4,3,5,4,4,4,3,3,2,2,6,6,6,4,3,3,2,2,2,2,3,1,5,3,3
263182,2,4,6,2,3,4,5,5,4,3,2,4,4,7,7,5,2,4,5,5,25,30,50,75,25,25,20,1,1,1,1,1,1,1,2,1,1,6,5,2,1,6,5,5,2,5,7,5,5,5,5,7,7,6,7,6,5,2,2,2,3,1,1,5,5,1
263939,2,4,4,2,4,4,3,5,3,2,2,3,3,6,6,5,5,5,5,5,50,75,50,50,50,50,50,1,1,1,1,1,1,1,1,1,1,6,5,4,3,5,2,5,4,5,5,4,5,4,4,6,4,5,5,5,4,2,2,2,2,2,1,3,3,2
264406,2,4,4,2,2,2,3,3,2,5,5,4,3,7,4,4,3,3,3,3,50,50,30,0,10,10,10,2,1,1,1,2,1,1,2,1,1,6,3,4,1,1,1,4,1,4,4,4,7,4,4,5,3,3,4,4,4,2,2,2,3,1,1,4,7,2
264562,2,4,4,3,4,4,4,4,4,3,3,4,3,6,6,6,4,5,5,5,40,50,50,40,20,30,50,1,1,1,1,1,1,1,2,1,1,4,5,6,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,2,3,3,2,2,1,5,5,5
266262,1,5,4,3,4,4,5,4,4,3,3,4,3,6,7,6,4,5,5,7,50,75,50,25,0,25,50,1,1,1,1,1,1,1,1,1,1,3,5,2,4,6,6,5,6,4,4,4,5,6,5,6,5,5,6,5,5,2,2,2,2,1,1,5,4,3
266617,2,6,4,3,4,4,4,4,4,4,4,4,3,6,6,6,5,5,5,5,50,50,50,50,25,25,25,1,1,1,1,1,1,1,1,1,1,5,5,2,1,5,2,5,3,5,5,5,5,5,4,6,6,7,5,5,4,3,3,3,2,2,2,1,2,8
267280,2,4,4,2,3,4,5,5,3,3,3,3,3,7,7,7,6,5,4,3,50,25,50,50,50,25,50,2,1,1,2,1,1,1,2,2,2,5,5,5,5,6,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,1,3,2,1,1,1,4,7,4
