pid,BQ2,BQ3_n2,BQ4,B3,B5_1,B5_2,B5_3,B5_4,B5_5,E5_1,E5_2,E5_3,E5_4,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,J1_1,J1_2,J1_3,J1_4,J1_5,J1_6,J1_7,J2_1,J2_2,J2_3,J2_4,J2_5,J2_6,J2_7,J2_8,J2_9,J2_10,K1,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,BQ7,BQ9,BQ12_1,BQ12_2
288628,1,6,2,2,1,2,4,5,2,2,2,4,3,7,7,7,6,7,6,7,70,50,80,30,20,20,20,1,1,2,1,1,1,1,1,1,1,6,4,3,2,2,2,5,4,5,6,6,6,6,5,6,6,6,4,5,5,1,1,2,2,3,1,1,1,1
288668,1,6,4,3,4,4,5,5,4,2,4,4,3,6,6,6,6,6,6,6,75,30,75,60,1,50,55,1,1,1,1,1,1,1,2,1,1,5,3,2,2,5,4,6,3,5,5,5,5,5,5,5,6,6,6,6,6,2,2,2,2,2,1,3,7,6
288761,1,6,4,3,5,5,5,5,4,5,5,5,1,2,2,5,3,2,2,1,25,20,50,5,0,0,0,1,1,1,2,1,1,1,1,1,1,3,7,1,7,6,6,6,2,7,6,3,6,6,6,6,5,7,7,6,5,4,2,2,3,1,1,3,8,5
288841,1,6,2,2,4,4,5,4,4,4,5,3,3,6,6,3,4,2,4,4,70,70,50,30,0,30,30,2,2,2,1,1,1,1,1,1,1,4,4,4,4,6,4,6,4,6,6,4,6,6,6,6,6,6,6,4,4,3,3,3,3,1,1,2,4,1
289583,1,4,2,3,5,5,5,5,5,4,4,3,4,6,7,6,5,5,4,4,50,50,50,50,10,10,0,2,1,1,1,1,1,1,1,1,1,5,5,5,3,5,5,5,5,6,7,6,5,5,6,6,5,6,6,5,5,3,2,2,2,1,1,5,5,6
289790,2,4,2,3,3,3,3,3,3,2,2,4,3,7,6,5,4,4,6,5,50,50,50,40,30,20,30,1,1,1,2,2,1,1,2,1,2,5,5,4,5,5,3,5,4,6,6,4,4,4,4,5,4,6,6,5,6,2,2,3,2,2,1,3,6,6
289826,2,3,2,3,4,4,4,4,5,3,4,2,3,4,5,5,4,5,4,4,50,50,25,25,25,25,0,1,1,1,1,1,1,1,2,2,2,4,5,4,4,4,5,4,5,5,4,4,4,5,5,5,4,5,4,4,3,2,2,2,2,1,1,3,2,1
290155,2,4,4,2,4,5,4,5,4,4,4,3,4,7,7,6,5,6,5,5,45,70,70,50,10,40,50,1,1,1,1,1,1,1,1,1,1,7,5,6,1,5,2,6,3,5,6,5,5,5,5,6,5,6,4,6,6,3,2,4,2,1,1,3,5,1
292072,1,5,2,3,2,2,3,2,2,2,1,2,3,7,7,7,7,7,7,7,80,80,80,70,50,50,50,1,1,1,1,1,1,1,1,1,1,3,4,2,1,4,1,6,5,4,5,5,2,4,3,6,4,4,7,6,5,2,1,3,3,1,1,2,3,1
292125,2,6,4,2,4,4,5,5,3,5,5,4,3,6,7,7,6,6,4,5,50,75,50,50,0,50,25,2,2,2,1,2,2,2,2,2,2,7,6,3,3,6,5,5,4,7,6,6,6,5,5,7,7,7,6,5,4,4,2,4,2,1,1,2,5,6
292244,2,6,2,3,5,4,5,5,3,5,5,4,2,6,6,7,2,5,4,5,80,70,50,50,50,50,50,1,1,1,1,1,1,1,2,2,2,7,7,1,1,3,1,3,1,7,7,5,7,5,6,7,5,7,6,5,7,2,2,4,4,2,1,3,3,5
292310,2,5,4,4,5,5,5,5,5,3,3,3,3,7,7,7,6,7,6,6,75,75,75,50,25,50,50,2,1,1,1,2,1,1,1,1,1,4,3,2,1,2,2,2,4,6,6,5,5,6,5,6,6,7,6,6,5,2,2,2,2,2,1,2,5,5
292713,1,6,2,3,5,4,4,5,4,2,1,5,4,7,7,6,6,6,5,6,80,85,80,80,40,50,60,1,1,1,1,1,1,1,1,1,1,1,7,6,6,6,4,6,6,5,6,6,5,4,5,7,6,7,6,6,6,1,1,1,1,2,1,3,5,5
293310,1,3,5,3,5,5,5,5,5,1,5,4,5,7,6,7,4,5,6,5,70,25,70,50,50,0,50,2,2,2,1,1,1,1,1,1,1,7,7,1,1,4,1,4,1,4,6,6,7,7,6,5,4,3,6,6,6,1,1,1,1,1,1,3,3,1
293629,2,5,6,3,4,3,4,4,3,3,4,3,3,4,5,5,4,4,4,5,50,50,50,50,0,50,50,1,1,1,2,2,1,1,2,2,2,4,5,4,3,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,2,2,2,3,2,1,1,1,1
294129,2,6,2,2,2,2,3,4,2,3,3,3,3,6,6,6,5,5,4,5,60,60,60,60,10,50,50,1,1,1,1,1,1,1,1,1,1,3,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,2,2,2,2,3,1,2,4,9
294564,1,5,2,4,5,5,5,5,5,5,5,3,1,7,7,7,1,4,1,4,100,50,100,0,0,25,0,2,2,2,2,2,2,1,2,2,2,7,5,1,6,6,1,5,4,6,7,7,1,7,7,7,4,4,6,6,6,5,5,5,5,5,2,1,1,2
295056,2,5,4,1,2,2,4,4,2,2,2,3,2,6,7,6,5,5,5,5,50,75,50,50,25,50,50,1,1,1,1,1,1,1,2,1,1,3,5,4,2,2,2,5,3,6,5,4,5,4,4,6,5,5,4,4,5,2,2,3,2,3,1,4,9,9
297533,2,3,2,3,5,5,5,5,5,3,3,3,3,5,7,5,5,5,5,5,50,50,50,50,0,50,0,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,1,3,3,3
299278,2,3,6,2,3,4,3,4,4,4,3,3,4,7,7,6,5,6,5,5,50,25,25,0,25,50,50,1,1,1,2,1,1,1,2,2,2,5,4,4,6,3,3,5,3,6,3,5,4,5,6,5,3,5,5,5,6,3,4,2,2,2,1,4,6,6
300104,2,4,2,2,5,5,5,5,5,5,4,4,5,6,6,5,6,5,5,5,50,50,50,50,50,50,50,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,1,4,6,2
301977,2,4,4,5,5,4,5,5,3,3,3,3,3,6,6,6,3,5,5,5,25,50,25,25,0,50,25,2,2,1,1,1,1,1,2,2,2,6,2,7,5,6,5,5,4,2,2,2,5,5,5,7,5,5,7,6,6,2,2,2,2,2,1,5,9,6
302295,1,2,3,3,5,4,5,5,4,4,3,3,3,7,7,6,4,7,4,5,75,50,50,50,0,45,50,1,1,1,1,1,1,1,1,1,1,6,3,1,1,5,4,2,1,5,5,4,3,5,7,7,5,7,5,6,5,1,2,2,1,2,2,4,3,1
302308,2,6,2,3,3,3,3,5,3,5,5,3,4,7,7,6,6,5,4,4,25,30,20,5,0,20,0,2,1,1,2,1,1,1,2,2,2,6,6,5,2,5,5,6,6,6,5,5,6,5,4,6,5,5,6,4,4,2,2,3,2,3,1,2,3,2
302830,2,2,4,2,3,5,5,5,3,3,4,3,3,6,5,6,4,5,5,5,50,50,50,50,50,40,40,2,2,1,1,1,1,1,1,2,2,5,4,4,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,2,3,3,2,3,2,5,6,8
303119,2,6,4,4,5,5,4,5,5,5,5,4,4,6,7,7,6,6,6,6,70,60,50,40,10,50,20,1,1,1,2,1,1,1,2,2,2,6,5,2,4,4,2,4,4,7,7,6,6,6,7,6,6,7,6,6,7,2,2,3,2,3,1,4,4,6
303873,2,2,4,3,4,3,5,5,3,3,4,3,3,7,5,5,5,6,5,5,25,75,50,50,0,50,25,2,1,1,2,1,1,1,2,1,1,6,5,7,2,3,4,3,2,3,6,5,4,5,3,6,4,5,5,4,3,2,3,3,3,1,2,2,3,1
304198,2,2,5,3,3,3,4,4,2,2,4,3,2,6,6,6,3,5,5,5,50,50,50,50,35,40,25,2,2,1,2,1,1,1,1,1,1,5,5,5,2,5,3,6,3,5,5,5,3,5,4,2,3,3,4,5,5,4,2,2,4,3,2,5,8,2
305100,1,4,6,3,3,3,4,4,3,2,2,4,3,6,6,6,4,5,4,5,25,50,50,50,50,25,50,2,2,2,2,1,1,1,2,1,2,5,5,5,4,5,2,4,3,6,6,5,6,3,3,4,4,4,4,3,3,3,2,3,3,3,1,3,6,1
305389,1,4,2,3,4,4,2,4,2,3,3,3,3,4,4,4,4,4,4,4,50,50,50,50,50,50,50,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,7,1
305639,2,6,2,3,5,4,3,4,4,4,5,4,3,7,7,6,3,5,5,6,80,75,75,50,0,40,50,1,1,1,2,1,1,1,1,1,1,5,5,1,2,6,3,7,1,6,6,5,6,6,7,5,5,6,6,5,4,3,2,3,3,3,1,3,5,5
306606,1,6,2,3,4,4,4,4,4,3,3,3,3,6,5,5,5,5,5,5,50,25,50,25,25,25,25,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,5,3,3,3,3,3,1,1,1,1
308563,1,4,4,2,2,2,2,4,1,2,1,1,3,7,6,7,5,7,4,6,25,50,75,50,50,25,50,2,1,1,1,1,1,1,1,1,1,5,2,1,1,3,1,2,1,6,6,6,5,5,5,6,5,6,4,5,5,2,2,2,1,1,1,3,9,8
310249,2,6,4,3,4,4,4,5,3,3,4,4,3,7,7,7,5,7,4,4,50,50,50,25,1,0,1,1,1,1,1,1,1,1,1,1,1,5,7,1,6,5,1,7,2,6,6,6,7,5,4,7,5,4,5,6,5,2,2,3,2,3,1,2,5,6
311128,2,6,2,1,2,2,2,5,4,5,4,4,4,7,7,7,4,6,7,6,10,80,50,20,80,0,50,2,1,1,1,2,1,1,1,1,1,7,7,6,2,5,1,4,3,6,6,6,5,7,7,6,2,4,3,6,6,5,4,2,3,1,1,3,3,5
311190,1,4,4,2,3,3,3,2,3,2,3,3,2,3,3,4,4,3,2,2,1,1,1,12,2,3,1,1,1,2,2,1,2,2,1,2,1,4,2,3,4,4,3,1,5,3,3,3,3,3,3,3,4,3,2,2,3,3,2,2,2,3,2,3,1,6
317443,1,5,2,2,5,5,2,4,4,2,2,4,4,7,7,7,5,6,6,6,100,100,100,50,50,25,50,2,2,2,2,2,1,2,2,2,2,4,6,7,4,5,3,6,5,6,6,6,7,6,5,6,7,7,7,6,4,2,1,1,1,1,1,4,4,4
317669,1,6,4,4,4,5,5,5,4,4,4,3,4,7,7,6,4,5,5,5,80,90,20,50,0,10,60,1,1,1,1,1,1,1,1,1,2,5,7,3,5,6,5,5,4,5,6,5,5,5,4,5,5,5,5,5,5,2,2,2,2,2,1,3,5,3
317965,1,6,4,3,4,4,4,4,4,5,5,3,3,6,6,6,5,6,4,5,20,50,50,25,25,50,50,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,6,5,6,5,6,6,6,6,5,5,4,2,2,2,2,2,1,3,6,5
320304,2,3,4,1,3,2,4,4,2,2,2,2,2,6,6,6,6,6,6,6,50,50,50,50,50,50,50,2,2,2,2,2,2,2,2,2,2,4,2,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,4,6,2
321409,1,3,4,3,4,4,4,4,4,4,3,2,2,6,6,6,5,6,4,5,25,30,30,20,50,50,50,1,1,1,2,1,1,1,1,1,1,6,5,3,2,3,1,3,4,5,6,4,3,3,2,5,3,5,4,4,5,3,3,2,2,2,2,1,3,1
321873,2,6,2,3,3,4,4,4,4,3,3,3,3,7,6,5,4,4,4,4,75,50,50,40,20,30,30,2,2,2,2,2,1,2,2,2,2,5,5,2,3,3,2,2,3,5,4,4,5,5,5,5,4,5,5,5,5,2,3,3,2,2,1,4,4,5
321932,2,6,2,2,4,4,4,4,3,4,4,4,3,6,6,6,4,5,5,5,75,80,50,25,0,50,50,1,2,1,2,1,1,1,2,2,1,5,5,3,4,5,2,3,3,6,6,5,5,5,4,5,4,5,5,5,5,3,3,3,3,2,1,1,2,1
321985,2,3,2,2,5,4,5,5,2,4,3,2,3,7,6,6,4,5,5,4,50,60,60,40,50,50,40,2,2,2,2,1,1,2,2,2,2,5,4,5,4,4,3,4,3,4,5,4,5,5,3,4,3,4,3,4,4,3,3,4,3,2,1,3,5,3
322232,2,4,4,3,4,5,4,4,4,4,5,4,4,7,6,6,5,6,6,4,25,75,25,0,0,50,0,1,1,1,1,1,1,1,1,1,1,6,7,5,6,7,7,7,4,7,7,6,6,7,7,5,4,6,6,4,4,3,4,4,5,1,1,4,5,2
322846,1,6,2,3,3,4,4,4,3,3,3,3,3,5,5,4,4,4,4,4,50,50,50,25,25,75,50,1,1,1,1,1,1,1,2,2,1,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,4,8,8
322985,2,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,5,4,4,25,50,50,25,25,50,25,1,1,1,1,1,1,2,2,1,1,6,5,4,4,6,4,6,4,4,5,5,5,5,4,5,5,5,5,5,5,2,3,3,2,2,1,3,7,3
323225,1,4,2,1,1,2,2,2,2,3,2,2,3,6,6,6,5,5,5,6,30,75,75,70,70,50,50,1,1,1,2,1,1,1,2,2,1,5,5,5,5,5,3,5,3,5,6,6,6,5,4,5,4,4,2,4,5,2,2,3,3,3,2,2,2,1
323299,1,4,2,1,1,2,3,5,2,4,4,3,3,4,6,4,3,4,5,7,100,25,50,75,50,50,50,2,2,1,1,2,1,2,2,1,2,6,6,4,7,7,4,5,3,3,5,5,5,6,6,5,4,6,7,6,5,3,1,3,1,2,2,1,3,1
323613,2,5,1,2,4,2,3,3,1,4,4,4,4,7,7,7,4,7,6,6,25,75,50,0,0,0,50,1,1,1,1,1,1,1,1,1,1,2,7,6,1,7,7,7,5,7,5,6,5,4,2,6,6,6,7,7,7,2,1,1,1,1,1,4,5,1
323665,2,4,4,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,50,50,50,50,30,50,50,2,2,2,2,2,1,1,1,2,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,1,4,4,1
323759,1,6,2,1,4,4,2,4,3,2,2,3,3,7,7,6,4,4,5,5,70,75,90,50,10,50,50,2,2,2,1,2,1,2,2,1,1,3,7,7,7,6,2,6,4,6,6,6,6,6,5,6,5,6,6,5,5,3,2,2,2,1,1,2,2,2
326235,1,4,6,1,4,3,4,4,3,5,5,3,1,6,6,5,2,4,2,2,30,35,50,1,5,60,2,2,1,1,1,1,1,1,1,1,1,4,4,4,3,3,1,1,1,4,3,4,5,5,4,3,3,2,2,2,3,5,2,5,4,2,1,4,10,9
326383,1,4,2,3,3,4,5,5,3,4,4,5,2,6,7,4,4,4,4,4,65,75,50,45,0,10,45,2,2,2,2,2,1,1,2,2,2,3,7,4,6,6,6,7,5,6,7,5,5,6,5,6,5,6,7,5,4,3,3,4,4,1,2,1,7,3
326419,1,4,4,3,3,4,5,5,5,2,5,5,3,7,7,6,4,6,6,4,100,50,60,20,10,50,20,1,1,1,1,2,1,2,1,1,1,2,5,2,5,5,2,4,2,5,7,6,7,3,4,6,4,6,4,5,3,4,2,3,3,1,2,2,6,9
327138,1,6,2,3,4,5,4,5,4,4,4,2,3,5,6,5,1,4,4,4,60,20,70,20,0,20,10,2,1,1,1,1,1,1,2,1,1,6,6,3,4,3,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,2,3,3,2,1,2,5,5
327161,1,3,4,3,5,4,5,5,5,3,3,4,2,5,7,5,4,5,4,4,10,10,50,10,50,50,30,1,1,1,1,1,1,1,1,1,1,6,4,2,2,7,7,6,2,6,6,7,5,3,3,3,4,4,5,5,3,3,3,3,3,1,2,2,8,5
327515,1,4,6,5,5,5,4,5,5,1,5,5,1,7,7,7,1,5,4,4,25,0,0,0,0,0,0,2,1,1,2,1,1,1,1,1,1,7,7,1,7,7,5,7,6,7,7,6,7,7,7,5,5,7,7,3,5,2,1,4,5,3,1,3,10,9
327950,1,6,2,3,4,4,4,5,3,2,4,2,3,7,7,7,5,6,6,5,60,80,50,10,0,50,50,1,2,1,1,1,1,1,1,1,1,6,6,2,5,7,4,7,4,5,6,6,6,5,4,4,4,4,3,4,4,2,2,3,3,2,1,3,2,4
328108,1,5,6,3,4,4,4,4,5,4,3,3,3,6,6,6,5,6,6,6,75,50,50,75,0,50,25,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,4,5,5,4,4,4,3,4,4,3,3,4,4,3,3,2,2,2,2,3,1,3,5,3
328421,2,4,2,3,3,4,4,5,5,3,4,4,2,7,7,7,5,7,7,6,75,100,50,75,25,50,50,1,1,1,1,1,1,1,2,2,2,4,6,4,1,5,1,4,3,6,7,7,5,6,5,6,4,7,7,6,3,1,1,1,1,2,1,3,5,2
329008,1,6,2,2,3,3,2,2,1,4,4,4,2,7,7,7,2,4,6,5,75,100,50,25,0,25,50,2,2,2,1,2,1,2,2,1,1,3,5,5,1,2,2,6,4,6,6,5,5,5,5,7,5,6,6,5,5,3,2,4,3,2,1,2,2,5
330377,1,4,4,2,5,5,5,5,5,3,3,3,3,7,7,7,7,7,7,7,60,75,30,0,0,50,0,2,1,2,1,1,1,1,1,1,1,6,7,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,3,3,2,1,3,1
330575,1,6,6,2,3,3,4,4,3,1,1,4,2,7,7,7,7,7,7,6,75,75,75,75,75,50,50,2,2,2,1,2,1,2,2,2,2,5,7,7,7,7,6,7,6,7,7,7,4,4,4,7,6,7,7,7,7,3,2,3,4,4,1,1,4,4
331133,2,3,2,3,3,4,3,4,3,3,4,3,4,5,4,3,4,5,4,5,10,30,10,20,40,0,0,1,1,1,1,1,1,1,1,1,1,5,4,3,5,4,3,4,3,4,3,4,5,4,3,4,3,4,3,4,3,3,4,3,2,3,1,2,1,1
331900,2,5,2,2,2,2,5,5,3,5,5,3,5,5,7,6,4,5,5,5,20,50,50,40,40,50,30,1,1,1,1,1,1,1,1,1,1,5,6,6,4,7,4,7,4,7,7,6,2,3,4,5,4,6,5,6,7,2,1,3,3,2,1,2,4,4
332270,1,5,2,3,4,3,2,4,4,4,4,5,4,4,4,3,4,5,6,5,50,50,70,60,10,10,0,2,2,1,1,1,1,1,2,2,2,4,4,5,5,4,3,4,5,5,6,6,5,5,5,6,4,5,4,5,5,2,2,2,3,2,2,1,5,1
332638,2,6,2,3,5,5,5,5,5,3,3,3,4,7,7,7,4,4,6,5,50,50,50,50,0,50,0,2,2,2,2,1,1,1,2,1,1,7,6,5,4,5,5,6,6,6,6,5,4,4,4,5,4,5,5,6,5,2,2,2,2,2,1,1,1,1
332802,1,6,1,3,3,5,4,5,4,2,2,2,3,7,6,7,5,6,6,5,75,80,90,75,35,50,50,2,2,2,2,1,1,2,2,2,1,6,6,5,4,3,5,5,4,6,6,6,6,6,5,5,5,5,5,6,5,1,1,2,2,1,1,3,3,1
332869,1,6,2,2,4,4,5,5,3,5,4,3,3,6,6,6,5,5,4,4,50,75,75,50,50,50,50,2,2,2,1,2,1,2,2,2,2,4,7,5,5,6,4,6,4,6,6,7,5,6,6,6,7,7,6,6,5,2,2,2,2,2,1,3,4,4
334783,2,4,2,2,4,5,4,5,5,3,2,3,3,4,4,4,4,4,3,3,75,25,25,25,25,25,25,1,1,1,2,1,1,1,2,2,2,5,7,7,5,7,7,7,5,5,5,4,7,4,3,5,2,6,1,1,2,4,4,4,4,1,2,1,1,1
335367,2,3,4,2,5,3,5,5,5,2,1,4,2,7,5,7,4,5,5,5,75,50,75,50,50,40,50,2,1,1,1,1,1,1,1,1,2,6,4,3,1,3,2,1,2,5,7,6,5,6,7,6,6,6,5,5,5,3,2,2,3,2,2,2,4,1
335428,2,2,4,4,5,5,5,5,3,4,3,4,3,7,6,7,4,4,4,5,25,75,50,50,0,50,50,1,1,1,1,1,1,1,1,1,1,6,2,3,1,2,1,2,3,5,5,4,4,5,4,5,4,5,4,4,4,2,2,2,2,2,2,4,7,2
335531,2,2,2,1,4,5,5,5,4,3,3,3,4,7,7,7,4,7,4,4,25,50,25,0,50,0,50,1,1,1,1,1,1,1,1,1,2,7,4,5,3,4,4,4,5,5,6,5,5,6,4,5,3,5,3,4,4,4,3,3,3,4,2,4,6,1
335756,2,4,2,3,4,4,3,4,3,3,2,4,3,7,6,6,4,6,5,4,25,75,50,25,25,50,25,1,1,1,1,2,1,2,2,1,1,3,6,6,5,6,1,6,5,4,4,5,3,5,5,5,5,5,5,5,5,2,4,2,2,1,1,4,5,1
337121,1,2,2,3,2,1,4,5,2,4,3,2,3,7,6,5,1,5,6,5,50,60,40,40,10,30,50,2,2,2,2,2,2,2,2,2,1,6,5,4,3,5,2,5,1,5,5,6,3,5,5,4,4,4,5,5,6,4,2,4,3,2,2,4,2,1
338567,1,6,2,1,3,3,4,4,1,4,3,4,3,7,6,5,5,6,6,6,90,80,80,50,25,50,50,1,1,1,2,2,1,1,2,1,1,3,6,6,6,5,5,5,4,7,7,7,7,6,5,7,5,7,5,6,5,2,1,3,2,2,2,2,2,2
338594,1,6,2,3,5,4,5,5,4,5,5,4,4,7,7,6,4,5,5,5,75,75,75,25,0,25,25,1,1,1,1,1,1,1,1,1,1,2,7,2,6,6,7,7,3,7,7,7,7,7,7,7,7,7,2,2,5,2,1,2,2,1,1,2,3,6
340802,1,6,2,1,3,3,2,4,2,2,2,4,4,7,7,5,3,6,5,5,80,90,80,70,0,60,50,2,2,1,1,1,1,2,2,2,2,3,6,3,2,6,5,4,4,7,6,6,4,4,4,6,7,7,7,4,4,1,2,2,2,1,1,2,6,6
341419,1,3,4,4,4,4,1,5,3,2,3,4,2,7,6,6,2,6,5,5,20,45,60,50,50,50,50,1,1,1,1,1,1,1,1,1,1,5,5,3,1,5,3,7,3,6,5,1,5,5,4,5,6,7,4,4,5,5,1,4,4,1,1,3,3,2
341456,1,4,2,1,4,4,4,4,4,3,3,3,3,4,6,6,6,5,4,4,70,60,50,50,40,50,30,2,2,2,2,2,1,1,2,2,2,4,5,4,5,6,3,4,5,5,5,4,5,6,6,7,7,7,7,7,6,2,3,2,2,2,1,4,7,6
343568,1,6,2,2,3,3,4,4,4,3,4,4,3,5,6,6,5,6,6,6,60,80,60,30,10,30,50,2,2,2,2,2,2,1,1,1,1,4,6,7,5,5,4,6,4,5,5,5,5,5,5,5,4,5,6,5,5,4,3,2,2,2,1,2,3,6
344205,1,3,2,4,5,5,5,5,5,1,1,1,1,3,3,2,2,2,3,4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,1,1,1,1,1,1,4,5,5,6,4,5,1,1,1,4,4,2,1,2,9
345829,2,4,4,3,5,5,5,5,5,3,2,3,3,7,7,7,5,5,6,5,50,75,50,25,0,50,25,1,1,1,1,1,1,1,1,1,1,7,5,5,4,4,5,6,5,5,6,5,3,5,4,6,5,5,6,5,6,2,2,2,3,2,1,4,4,1
347497,2,6,2,3,4,4,4,5,4,5,5,4,4,6,6,6,4,6,4,4,50,50,50,30,10,50,10,2,2,2,2,2,1,1,2,2,2,6,6,4,4,2,2,6,4,7,7,6,4,5,6,6,6,6,4,5,4,2,2,3,4,4,1,2,4,3
347708,2,3,4,3,5,5,5,5,5,4,5,4,3,6,6,6,4,4,5,5,75,50,50,60,40,30,40,1,1,1,1,1,1,1,1,1,1,6,5,2,3,5,4,3,3,5,5,5,6,5,4,6,5,5,5,5,5,3,3,3,3,3,1,3,6,8
348250,1,3,4,1,3,3,3,3,3,1,1,1,1,7,7,7,7,7,7,7,100,100,100,50,50,50,30,1,1,1,1,1,1,1,1,1,1,5,3,4,4,1,1,2,2,4,3,2,5,5,3,3,2,2,3,3,2,1,1,1,1,1,1,3,4,3
348311,2,4,2,3,4,3,3,4,3,4,3,3,3,5,6,6,4,5,4,4,70,80,50,40,30,30,20,2,2,2,2,2,1,2,2,1,1,4,5,4,2,6,4,5,2,5,5,4,3,5,5,5,4,5,6,6,5,3,3,3,2,2,2,2,4,2
348567,1,4,4,1,1,2,3,5,3,4,3,4,2,7,6,7,4,6,5,5,22,58,78,50,10,5,50,1,2,1,1,1,1,1,2,2,1,3,7,3,1,4,2,5,3,6,7,7,6,5,5,6,4,4,4,5,5,2,3,2,2,1,2,3,4,6
348740,2,5,2,2,2,2,3,4,4,3,2,3,4,7,7,7,4,6,5,5,80,70,60,50,50,45,30,1,1,1,1,1,1,1,2,1,1,4,6,6,4,4,2,5,4,6,7,6,3,3,3,5,3,5,6,5,4,2,2,2,2,2,2,2,3,5
348885,1,4,4,3,4,4,5,5,3,5,5,5,1,7,7,7,1,7,7,5,50,75,50,50,0,50,50,2,1,1,2,1,1,1,1,1,2,3,6,4,1,7,3,4,3,5,7,7,7,7,5,6,4,6,2,6,6,4,3,4,4,4,1,4,11,9
350984,2,4,4,3,2,3,4,4,2,4,4,4,4,6,7,6,4,5,4,5,25,25,25,25,0,50,75,2,2,1,1,2,1,2,2,2,1,5,5,2,1,4,3,4,3,6,6,6,6,6,4,6,5,5,4,6,4,3,3,3,3,2,1,5,5,2
352018,1,6,4,3,5,4,5,4,4,2,2,4,4,6,6,5,6,5,6,5,95,90,95,85,40,60,60,1,2,1,1,1,1,2,2,2,1,4,6,2,2,1,1,4,5,6,6,5,6,5,4,7,6,6,7,5,4,1,1,2,2,1,1,4,6,6
352897,2,4,2,3,4,4,4,4,4,4,4,3,4,4,5,4,4,5,4,4,70,50,50,50,20,30,20,1,1,1,2,1,1,1,2,2,2,6,4,4,4,5,5,4,4,4,5,4,4,3,3,3,3,3,3,4,3,2,3,3,2,2,1,3,4,1
354715,1,5,2,3,4,4,4,5,5,4,4,4,4,7,7,7,7,7,7,7,25,50,50,50,25,50,50,1,1,1,1,1,1,1,2,2,2,3,7,7,7,7,7,7,6,6,6,6,6,6,6,6,7,7,7,7,7,1,1,1,2,2,1,4,4,4
354794,1,4,2,2,3,3,4,3,3,4,4,3,3,6,6,6,4,5,5,5,50,50,100,50,0,0,50,2,2,2,1,2,1,1,2,2,2,5,5,5,5,4,4,5,5,4,5,5,5,4,4,5,5,5,4,5,4,2,3,2,2,2,2,3,3,2
354839,1,3,2,2,4,4,5,5,4,4,4,3,2,5,6,6,4,4,5,4,50,50,75,75,50,50,25,2,2,1,2,2,1,2,2,2,2,5,4,5,4,5,4,5,4,7,7,6,5,6,5,6,4,6,5,5,1,2,4,2,2,4,2,2,7,3
356982,1,5,6,2,2,2,3,4,3,3,4,3,4,5,4,5,5,5,5,5,60,50,80,50,40,80,70,2,2,2,2,1,1,2,2,2,2,5,3,5,5,4,5,5,5,5,4,4,5,5,5,4,4,4,5,5,5,3,3,4,4,4,1,4,7,2
357243,2,6,2,3,3,3,3,4,3,5,5,2,3,5,6,4,2,5,4,4,50,50,50,50,50,40,40,2,2,2,2,2,2,2,2,2,2,4,5,3,2,5,5,5,4,6,6,6,6,5,4,5,4,5,4,4,4,2,3,2,2,1,1,1,1,1
357313,2,6,2,2,4,3,4,4,2,2,2,4,3,7,6,6,4,5,6,6,75,80,50,50,0,10,20,1,1,1,1,1,1,1,2,1,1,5,5,2,1,1,1,1,2,6,6,7,6,6,6,6,6,6,7,6,6,2,2,3,3,1,1,2,4,3
357358,1,6,2,3,4,5,5,5,4,2,1,4,4,7,5,6,4,6,6,6,25,50,50,50,25,25,50,2,1,2,1,1,1,1,2,1,1,3,7,7,1,4,7,3,3,6,6,5,6,6,6,6,6,6,6,6,6,2,2,1,2,1,1,3,4,2
