pid,BQ1,BQ2,BQ3,BQ3_n2,BQ4,BQ8,A001,B1,B2,B3,B4,B5_1,B5_2,B5_3,B5_4,B5_5,B7_1,B7_2,B8_1,B8_2,D1_1,D1_2,D1_3,D1_4,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D3,D4,D5_1,D5_2,D5_3,D5_4,E3_1,E3_2,E3_3,E3_4,E3_5,E3_6,E3_7,E3_8,E3_9,E3_10,E3_11,E3_12,E3_13,E3_14,E3_15,E3_16,E4_1,E4_2,E4_3,E4_4,E4_5,E5_1,E5_2,E5_3,E5_4,F1,F2,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G3_1,G3_2,G3_3,G3_4,G3_5,G3_6,G3_7,G3_8,H1_1,H1_2,H1_3,H1_4,H1_5,H1_6,H1_7,H5_1,H5_2,H5_3,H5_4,H5_5,H5_6,H5_7,H6_1,H6_2,H7,H8,H9,H9_1,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,I2_1,I2_2,I2_3,I2_4,I2_5,J1_1,J1_2,J1_3,J1_4,J1_5,J1_6,J1_7,J2_1,J2_2,J2_3,J2_4,J2_5,J2_6,J2_7,J2_8,J2_9,J2_10,K1,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,BQ5,BQ5_1,BQ5_2,BQ5_3,BQ6,BQ7,BQ7_1,BQ7_2,BQ9,BQ9_1,BQ12_1,BQ12_2,BQ12_3,BQ13,BQ14,BQ14_1,BQ15_1,BQ15_2,BQ15_3,BQ15_4,BQ16_1,BQ16_2,BQ16_3,BQ16_4
286409,7,1,63,6,2,3,4,2,4,3,5,4,4,3,4,4,2,1,1,1,4,3,4,3,4,4,4,2,3,3,1,2,2,2,3,3,2,3,3,2,3,5,3,4,4,4,4,1,2,4,4,4,3,4,2,2,2,2,2,3,4,5,4,2,3,2,3,2,2,4,4,5,5,5,4,3,4,3,1,5,3,3,2,5,2,3,3,2,4,3,2,1,2,2,3,3,3,7,6,6,4,4,4,5,2,2,5,1,5,50,30,50,50,20,20,30,1,1,1,1,1,1,1,1,1,1,5,5,4,5,6,3,4,3,3,5,4,6,5,5,5,5,5,7,6,5,2,2,2,2,1,3,1,1,1,2,1,2,2,2, ,4,3,4,6,2, ,2,2,2,2,3,2,2,2
286410,15,1,57,5,4,2,1,1,2,1,2,3,1,3,5,3,1,1,2,3,4,4,4,4,4,3,4,4,4,4,3,2,1,1,2,2,1,1,2,1,4,4,4,5,1,5,5,1,1,2,3,3,2,1,3,2,1,2,4,2,3,8,4,1,4,1,4,1,1,1,1,1,3,2,2,1,1,5,1,5,4,2,1,2,2,2,1,1,1,1,1,1,1,2,3,4,1,5,7,5,5,5,7,5,2,2,4,2,2,95,50,95,5,0,0,5,1,1,1,1,1,2,1,1,1,1,7,7,7,5,7,3,7,7,7,7,7,4,7,6,7,7,7,7,6,7,1,1,1,1,1,6,1,1,1,2,1,2,2,4, ,7,4,3,8,1, ,3,2,2,3,2,2,2,2
286484,2,1,69,6,4,5,2,2,4,3,4,4,4,4,4,4,2,2,3,2,4,4,4,4,4,4,4,4,4, ,2,2,2,2,2,2,1,1,2,1,4,3,4,4,2,5,3,3,3,3,3,2,2,3,2,3,2,3,3,4,2,7,2,2,4,2,2,2,2,2,3,2,5,3,2,2,2,2,2,4,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2, ,6,6,5,4,4,4,4,2,2,5,3,4,25,75,50,50,25,25,25,1,1,1,2,1,1,1,1,1,1,4,6,5,5,5,4,5,5,5,6,6,5,5,5,5,5,6,5,5,5,2,2,2,2,2,11, , , ,2,1,2,2,2, ,2,4,4,5,1, ,2,2,2,2,2,2,3,2
287391,8,2,53,5,2,5,3,2,4,2,4,2,3,3,5,1,1,2,1,1,4,4,4,4,2,3,4,4,1, ,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,5,5,5,3,3,4,4,2,4,2,4,4,5,5,3,5,5,5,2,5,1,2,4,5,1,3,5,3,1,1,1,4,4,1,1,1,2,2,4,2,6,6,7,4,7,7,4,4,5,5,5,3,25,50,50,25,0,50,50,2,2,2,2,2,2,2,2,2,2,5,7,1,2,4,1,3,1,6,7,5,4,4,4,7,6,7,7,6,5,1,1,1,1,1,7,1,1,1,4,1,2,2,2, ,4,2,4,5,8, ,3,2,2,2,3,4,3,2
287407,1,1,35,3,4,5,1,1,2,1,3,4,4,4,4,4,1,2,2,2,4,4,4,4,4,3,4,4,4, ,2,2,2,2,2,2,1,1,1,1,4,3,5,9,2,5,4,2,2,2,4,2,2,2,2,3,3,2,3,2,2,5,3,3,3,3,3,3,3,4,3,2,4,3,3,2,2,2,3,3,4,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3,1,4,5,4,4,5,3,4,4,3,4,3,3,50,60,70,20,30,30,30,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,4,4,5,5,4,2,4,4,4,4,4,6,4,4,4,3,3,4,3,3,5,1,1,1,2,2, , ,2, ,4,4,3,4,1, ,2,2,2,2,3,2,3,3
287462,5,1,46,4,2,5,2,1,2,2,2,5,5,4,4,5,2,3,2,2,4,4,4,4,2,1,1,2,1, ,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,1,1,1,2,2,2,1,2,2,1,1,2,2,2,3,6,2,1,4,1,4,1,4,2,1,2,2,2,2,1,1,2,2,4,2,4,4,4,2,2,2,2,2,2,2,2,3,2,3,2, ,6,6,6,3,6,3,4,4,2,5,5,4,25,75,75,25,25,50,25,1,1,1,1,1,1,1,1,2,2,7,7,7,1,7,1,5,7,7,7,7,7,7,3,7,5,5,7,6,3,2,2,4,2,2,5,1,1,1,2,1,2,1,4, ,3,3,4,2,1, ,2,1,9,9,2,2,3,2
288261,1,1,47,4,6,5,2,2,4,3,3,3,4,4,4,4,1,2,2,3,4,3,3,3,4,9,3,3,3, ,3,3,2,2,2,2,2,2,3,1,5,3,5,5,2,5,4,1,2,2,5,2,2,2,2,2,2,2,3,3,3,8,3,3,3,2,3,2,2,2,1,2,5,3,2,2,3,3,2,4,4,3,2,3,2,3,3,4,4,4,2,1,2,2,1,4,1,6,6,7,4,5,4,5,3,4,5,3,5,25,50,40,40,50,50,40,1,1,1,1,1,1,1,1,1,1,4,5,3,3,5,1,7,1,5,5,5,1,5,4,5,5,5,3,6,5,2,3,2,2,1,6,1,1,1,2,1,2,1,4, ,9,1,3,5,1, ,3,3,3,9,3,3,2,2
288617,14,1,69,6,2,5,3,2,3,3,5,4,4,4,4,2,2,3,1,2,4,4,3,2,2,2,3,1,1, ,2,2,2,2,2,2,2,4,4,1,5,5,2,5,2,3,2,2,3,3,4,2,3,2,2,2,2,3,3,4,3,6,3,2,4,1,2,1,4,3,3,4,5,3,5,3,4,4,4,1,4,3,5,5,3,3,4,4,4,3,2,1,3,2,4,3,3,6,6,4,1,4,4,4,3,3,4,3,3,50,75,75,50,20,50,50,1,1,1,2,1,1,1,1,1,1,4,4,2,2,6,5,5,4,6,6,4,6,6,4,5,4,6,7,6,4,2,3,3,2,3,11, , , ,2,1,2,2,2, ,4,4,4,6,2, ,2,2,2,2,3,3,2,2
288628,4,1,68,6,2,5,1,1,1,2,3,1,2,4,5,2,2,4,4,4,4,4,4,4,4,2,1,1,2, ,4,4,1,2,1,1,1,1,1,1,3,1,5,5,1,5,1,1,1,2,3,2,1,3,4,2,1,2,2,4,3,8,3,1,4,1,4,1,4,2,2,1,1,1,1,1,1,1,1,5,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,2, ,7,7,7,6,7,6,7,2,1,5,5,4,70,50,80,30,20,20,20,1,1,2,1,1,1,1,1,1,1,6,4,3,2,2,2,5,4,5,6,6,6,6,5,6,6,6,4,5,5,1,1,2,2,3,11, , , ,3,1,2,2,1,15,1,1,5,0,1, ,2,2,2,2,2,2,2,2
288668,3,1,60,6,4,1,4,4,4,3,5,4,4,5,5,4,1,2,1,2,4,4,4,4,4,4,4,4,4,4,2,1,1,2,2,2,4,5,5,1,5,5,2,4,1,2,2,2,2,2,2,4,4,4,2,2,2,2,4,4,3,8,4,3,2,3,2,3,3,5,2,2,4,3,2,2,5,4,4,2,4,3,4,4,2,3,3,4,3,3,1,1,3,2,4,4,1,6,6,6,6,6,6,6,3,4,4,3,4,75,30,75,60,1,50,55,1,1,1,1,1,1,1,2,1,1,5,3,2,2,5,4,6,3,5,5,5,5,5,5,5,6,6,6,6,6,2,2,2,2,2,5,1,1,1,2,1,2,2,3, ,7,6,3,6,2, ,3,2,3,2,2,2,2,2
288761,14,1,66,6,4,2,4,4,4,3,5,5,5,5,5,4,2,4,1,1,3,2,2,1,2,2,3,3,2,1,1,1,2,2,2,3,5,5,5,4,5,5,4,5,3,2,5,1,2,3,5,5,4,4,4,4,4,5,5,5,1,3,3,4,1,4,4,3,2,5,3,4,5,5,5,5,5,1,4,1,5,5,5,5,4,4,4,4,4,4,4,1,3,2,2,4,3,2,2,5,3,2,2,1,5,5,4,1,3,25,20,50,5,0,0,0,1,1,1,2,1,1,1,1,1,1,3,7,1,7,6,6,6,2,7,6,3,6,6,6,6,5,7,7,6,5,4,2,2,3,1,6,1,1,1,3,1,2,2,3, ,8,5,4,6,98,99,2,1,2,2,2,2,2,2
288841,15,1,63,6,2,5,3,2,2,2,3,4,4,5,4,4,9,9,1,3,3,3,4,3,3,2,4,4,3, ,2,2,1,1,2,2,3,3,3,1,3,5,3,3,3,3,3,3,3,3,3,3,3,4,3,4,2,4,5,3,3,99,9,1,4,1,3,2,3,3,2,2,5,5,5,5,5,1,1,5,4,3,1,3,2,1,1,4,4,2,1,1,1,2,3,4,3,6,6,3,4,2,4,4,3,9,5,9,3,70,70,50,30,0,30,30,2,2,2,1,1,1,1,1,1,1,4,4,4,4,6,4,6,4,6,6,4,6,6,6,6,6,6,6,4,4,3,3,3,3,1,4,1,1,1,2,1,2,2,2, ,4,1,9,8,2, ,9,9,9,9,9,9,9,2
289583,17,1,45,4,2,1,2,2,4,3,4,5,5,5,5,5,2,3,2,3,4,4,4,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,4,3,4,3,2,5,3,2,2,3,4,3,2,3,2,2,2,4,4,3,4,3,3,2,3,2,3,2,3,2,2,2,4,2,2,2,2,2,2,5,2,3,2,3,3,3,2,3,2,2,2,2,1,2,3,9, ,6,7,6,5,5,4,4,4,3,4,2,2,50,50,50,50,10,10,0,2,1,1,1,1,1,1,1,1,1,5,5,5,3,5,5,5,5,6,7,6,5,5,6,6,5,6,6,5,5,3,2,2,2,1,5,1,1,1,2,1,2,1,5, ,5,6,4,3,98,1,9,9,9,9,2,2,2,2
289790,1,2,46,4,2,5,2,2,3,3,5,3,3,3,3,3,2,2,1,2,4,4,4,4,4,4,4,4,3, ,3,3,1,2,2,2,3,3,3,3,3,3,5,3,3,5,3,3,3,3,3,3,2,9,3,3,2,2,2,4,3,4,2,3,4,2,3,3,3,4,4,3,4,4,4,3,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,1,3,2,2,3,2,7,6,5,4,4,6,5,3,3,4,3,3,50,50,50,40,30,20,30,1,1,1,2,2,1,1,2,1,2,5,5,4,5,5,3,5,4,6,6,4,4,4,4,5,4,6,6,5,6,2,2,3,2,2,8, , , ,2,1,2,1,3, ,6,6,4,8,1, ,2,2,9,2,2,2,2,2
289826,17,2,38,3,2,3,2,2,4,3,4,4,4,4,4,5,2,3,2,2,3,2,3,3,4,4,4,4,4,4,1,1,3,2,3,2,3,3,4,2,5,9,9,3,2,9,9,3,3,3,9,3,2,3,4,2,3,3,4,2,3,4,3,4,9,9,3,9,9,9,1,1,9,9,9,9,9,3,2,5,3,2,1,3,2,2,3,3,3,3,3,2,2,9,3,9, ,4,5,5,4,5,4,4,4,3,5,9,5,50,50,25,25,25,25,0,1,1,1,1,1,1,1,2,2,2,4,5,4,4,4,5,4,5,5,4,4,4,5,5,5,4,5,4,4,3,2,2,2,2,1,8, , , ,4,1,2,1,3, ,2,1,4,5,99,99,9,3,9,9,9,9,9,9
290155,8,2,42,4,4,1,2,1,4,2,4,4,5,4,5,4,2,3,4,4,4,4,4,3,4,4,4,4,4,4,2,2,1,1,3,2,2,2,2,2,4,2,5,4,2,4,3,1,2,3,4,4,1,4,3,2,2,4,4,3,4,6,4,3,3,2,3,9,3,2,2,2,3,3,3,3,2,3,3,4,9,4,1,4,3,2,2,2,3,2,2,3,1,2,9,9, ,7,7,6,5,6,5,5,3,4,5,4,3,45,70,70,50,10,40,50,1,1,1,1,1,1,1,1,1,1,7,5,6,1,5,2,6,3,5,6,5,5,5,5,6,5,6,4,6,6,3,2,4,2,1,2,3, , ,2,1,2,1,3, ,5,1,4,3,1, ,2,2,2,2,2,2,2,2
292072,15,1,58,5,2,3,2,1,3,3,3,2,2,3,2,2,2,3,4,4,4,4,3,3,2,1,1,2,1,1,4,4,1,1,2,2,1,1,2,1,5,3,5,5,1,5,3,1,3,3,3,2,1,3,4,2,2,2,1,2,3,4,4,9,9,9,4,9,3,3,3,3,4,3,4,2,1,2,2,5,3,1,1,2,1,1,1,1,2,1,1,2,2,2,3,2, ,7,7,7,7,7,7,7,2,1,5,5,5,80,80,80,70,50,50,50,1,1,1,1,1,1,1,1,1,1,3,4,2,1,4,1,6,5,4,5,5,2,4,3,6,4,4,7,6,5,2,1,3,3,1,3,1,1,1,2,1,2,2,2, ,3,1,4,4,98,1,9,2,9,2,3,3,3,2
292125,15,2,73,6,4,2,3,2,2,2,2,4,4,5,5,3,3,3,1,2,2,2,3,3,2,2,2,2,2,1,3,3,2,2,2,2,2,3,3,1,3,4,4,3,2,4,3,2,2,3,4,2,2,2,3,2,1,5,5,4,3,7,4,3,3,2,2,3,3,4,4,2,4,5,3,3,4,3,3,3,4,3,3,4,3,2,2,4,4,2,1,1,1,1,2,3,1,6,7,7,6,6,4,5,3,5,4,3,4,50,75,50,50,0,50,25,2,2,2,1,2,2,2,2,2,2,7,6,3,3,6,5,5,4,7,6,6,6,5,5,7,7,7,6,5,4,4,2,4,2,1,11, , , ,2,1,2,2,2, ,5,6,3,5,98,98,2,2,9,2,2,1,2,2
292244,8,2,62,6,2,5,3,3,3,3,4,5,4,5,5,3,2,4,1,1,4,4,4,4,2,2,1,1,1, ,2,2,1,1,1,1,3,4,4,1,3,5,4,3,1,3,3,1,2,2,4,3,3,3,3,4,1,5,5,4,2,3,3,4,1,4,1,4,4,4,2,1,5,4,5,2,5,5,3,1,4,5,5,5,3,4,4,4,4,4,1,1,3,2,4,4,3,6,6,7,2,5,4,5,5,5,2,2,2,80,70,50,50,50,50,50,1,1,1,1,1,1,1,2,2,2,7,7,1,1,3,1,3,1,7,7,5,7,5,6,7,5,7,6,5,7,2,2,4,4,2,8, , , ,2,1,2,2,3, ,3,5,4,5,2, ,2,2,9,2,3,3,3,2
292310,15,2,59,5,4,1,2,2,4,4,5,5,5,5,5,5,1,2,3,3,4,4,4,4,4,3,4,3,4,2,3,1,1,1,1,1,2,3,2,1,3,3,4,3,2,4,3,3,3,3,4,2,2,3,2,2,2,3,3,3,3,7,4,2,4,2,4,2,4,2,2,2,4,9,9,2,9,2,2,5,2,4,3,2,1,2,1,1,9,2,1,1,3,2,3,4,1,7,7,7,6,7,6,6,2,4,5,1,2,75,75,75,50,25,50,50,2,1,1,1,2,1,1,1,1,1,4,3,2,1,2,2,2,4,6,6,5,5,6,5,6,6,7,6,6,5,2,2,2,2,2,5,1,1,1,2,1,2,2,2, ,5,5,3,5,98,98,2,2,2,2,2,3,2,2
292713,13,1,66,6,2,5,1,1,4,3,4,5,4,4,5,4,2,2,3,3,4,3,3,3,2,2,2,2,4, ,3,3,2,2,2,2,1,1,1,1,3,2,5,5,1,3,2,1,2,2,3,3,1,3,4,1,1,2,1,5,4,5,2,1,3,2,3,2,3,2,2,2,3,2,3,2,1,2,2,4,2,2,1,2,2,2,1,3,2,2,2,2,2,2,9,2, ,7,7,6,6,6,5,6,2,2,5,9,4,80,85,80,80,40,50,60,1,1,1,1,1,1,1,1,1,1,1,7,6,6,6,4,6,6,5,6,6,5,4,5,7,6,7,6,6,6,1,1,1,1,2,4,1,2,1,2,1,2,2,3, ,5,5,4,0,6, ,3,3,3,2,2,2,2,1
293310,1,1,39,3,5,3,3,3,5,3,5,5,5,5,5,5,1,2,1,3,4,4,4,4,1,2,1,1,1,1,1,1,2,1,2,2,9,5,5,2,5,5,1,5,3,3,4,3,3,3,5,3,4,1,4,2,2,1,5,4,5,0,1,4,2,3,2,1,4,5,5,3,5,5,5,5,5,5,5,1,5,3,5,5,2,4,1,4,4,3,2,1,9,2,1,4,4,7,6,7,4,5,6,5,3,5,5,1,5,70,25,70,50,50,0,50,2,2,2,1,1,1,1,1,1,1,7,7,1,1,4,1,4,1,4,6,6,7,7,6,5,4,3,6,6,6,1,1,1,1,1,7,1,1,1,2,1,2,2,3, ,3,1,5,8,2, ,9,9,9,9,4,4,3,3
293629,16,2,53,5,6,1,9,2,3,3,4,4,3,4,4,3,2,2,2,3,4,4,4,4,2,2,2,2,2,1,3,3,2,2,2,2,2,3,3,1,5,5,5,5,2,3,3,2,4,4,4,3,2,3,3,3,2,3,4,3,3,4,2,2,3,2,3,2,2,9,2,1,5,2,4,2,4,4,3,3,4,3,4,3,2,2,2,3,3,3,2,3,3,2,3,3,1,4,5,5,4,4,4,5,2,3,4,3,4,50,50,50,50,0,50,50,1,1,1,2,2,1,1,2,2,2,4,5,4,3,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,2,2,2,3,2,11, , , ,4,1,2,2,1,9,1,1,5,5,98,98,2,2,2,2,2,2,2,2
294129,1,2,63,6,2,5,9,3,2,2,2,2,2,3,4,2,3,3,3,3,4,4,4,4,2,2,2,2,2, ,3,3,2,2,2,2,3,4,3,4,3,2,3,2,2,3,2,2,2,2,3,3,3,2,2,2,2,3,3,3,3,8,3,2,4,2,3,2,2,3,4,2,4,2,3,3,4,3,3,3,3,3,3,3,2,2,2,2,3,3,2,1,9,9,9,9, ,6,6,6,5,5,4,5,2,3,5,4,4,60,60,60,60,10,50,50,1,1,1,1,1,1,1,1,1,1,3,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,2,2,2,2,3,8, , , ,2,1,2,2,2, ,4,9,2,8,2, ,2,2,2,2,2,2,2,2
294564,4,1,50,5,2,5,4,4,5,4,4,5,5,5,5,5,1,3,1,1,3,4,3,3,3,1,1,1,1, ,1,1,2,2,2,2,3,5,5,1,3,5,3,5,1,5,5,1,3,3,5,3,4,4,4,4,3,5,5,3,1,0,1,4,1,4,1,4,4,4,4,3,5,5,5,2,5,1,1,5,3,1,1,1,1,1,1,1,1,1,1,2,1,2,4,3,3,7,7,7,1,4,1,4,3,3,1,5,5,100,50,100,0,0,25,0,2,2,2,2,2,2,1,2,2,2,7,5,1,6,6,1,5,4,6,7,7,1,7,7,7,4,4,6,6,6,5,5,5,5,5,11, , , ,1,2, , ,1,32,1,2,5,6,2, ,1,1,1,1,1,1,2,2
295056,8,2,51,5,4,3,2,1,4,1,4,2,2,4,4,2,2,3,2,3,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,1,4,3,4,4,2,4,3,1,2,2,3,2,2,3,2,2,3,2,2,3,2,9,5,2,4,2,4,2,4,4,2,2,3,3,4,3,3,2,2,3,3,3,3,3,1,2,2,2,2,2,1,1,2,9,3,3,1,6,7,6,5,5,5,5,2,2,4,4,4,50,75,50,50,25,50,50,1,1,1,1,1,1,1,2,1,1,3,5,4,2,2,2,5,3,6,5,4,5,4,4,6,5,5,4,4,5,2,2,3,2,3,5,1,1,1,2,1,2,1,4, ,9,9,3,3,1, ,2,2,3,2,2,3,3,2
297533,4,2,37,3,2,4,2,2,4,3,4,5,5,5,5,5,1,1,1,2,4,4,4,4,2,2,2,2,2,1,1,1,2,2,2,2,3,3,3,2,3,3,3,3,3,9,3,1,2,2,9,3,2,2,2,2,2,3,3,3,3,7,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,9,3,3,5,7,5,5,5,5,5,3,3,3,3,3,50,50,50,50,0,50,0,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,8, , , ,2,1,1,1,3, ,3,3,4,5,1, ,1,1,1,1,4,3,3,3
299278,8,2,39,3,6,2,3,2,2,2,4,3,4,3,4,4,3,3,1,1,4,4,4,4,4,4,4,4,4,4,2,2,2,1,2,3,3,4,4,2,5,5,5,5,3,9,5,2,3,4,4,4,3,3,4,3,2,4,3,3,4,8,3,4,2,3,2,3,3,5,4,5,4,4,4,4,4,2,4,3,4,2,3,4,3,3,3,2,2,2,3,1,1,2,2,4,3,7,7,6,5,6,5,5,2,5,5,5,3,50,25,25,0,25,50,50,1,1,1,2,1,1,1,2,2,2,5,4,4,6,3,3,5,3,6,3,5,4,5,6,5,3,5,5,5,6,3,4,2,2,2,5,1,1,1,2,1,2,1,4, ,6,6,4,5,98,98,2,2,2,2,3,2,3,4
300104,9,2,45,4,2,5,2,1,4,2,4,5,5,5,5,5,1,1,2,2,4,4,4,4,4,4,4,4,4, ,1,1,1,1,2,2,1,2,2,1,2,1,3,3,3,9,1,1,3,5,5,3,3,3,4,3,3,5,4,4,5,4,2,2,2,2,3,1,1,2,1,2,3,2,3,2,3,3,3,4,3,4,2,5,3,3,3,4,3,2,3,1,2,2,4,3,1,6,6,5,6,5,5,5,4,4,4,4,4,50,50,50,50,50,50,50,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,1,1,1,2,1,2,1,4, ,6,2,3,5,6, ,2,2,2,2,3,3,3,3
301977,8,2,44,4,4,1,2,1,4,5,5,5,4,5,5,3,1,2,1,1,4,4,4,4,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,5,2,1,2,2,1,2,2,9,3,2,2,2,2,2,3,3,3,3,9,2,2,4,2,3,2,3,2,2,1,3,2,3,1,2,4,3,4,5,2,5,5,2,2,2,2,3,3,3,2,9,2,3,3,1,6,6,6,3,5,5,5,3,4,5,5,5,25,50,25,25,0,50,25,2,2,1,1,1,1,1,2,2,2,6,2,7,5,6,5,5,4,2,2,2,5,5,5,7,5,5,7,6,6,2,2,2,2,2,8, , , ,2,1,2,1,5, ,9,6,2,1,1, ,2,2,9,3,2,2,3,2
302295,1,1,28,2,3,1,3,2,4,3,5,5,4,5,5,4,2,3,2,2,4,4,4,4,3,3,4,3,4,4,1,1,1,1,3,2,2,3,3,1,3,3,5,3,1,2,2,1,1,3,3,2,2,4,4,2,2,4,3,3,3,6,3,2,3,2,2,2,4,2,2,2,4,3,4,2,3,1,2,3,4,3,2,3,3,2,2,2,3,1,3,2,2,2,3,2, ,7,7,6,4,7,4,5,2,2,5,4,3,75,50,50,50,0,45,50,1,1,1,1,1,1,1,1,1,1,6,3,1,1,5,4,2,1,5,5,4,3,5,7,7,5,7,5,6,5,1,2,2,1,2,9, , , ,1,2, , ,4, ,3,1,5,5,98,98,2,2,2,2,2,3,2,2
302308,8,2,60,6,2,5,2,1,3,3,4,3,3,3,5,3,1,2,1,3,4,4,4,4,2,2,2,3,3, ,2,3,1,1,1,2,2,3,3,1,4,4,5,3,2,5,3,1,3,3,3,3,2,3,3,3,2,5,5,3,4,2,3,2,3,2,3,2,2,3,2,2,4,4,3,2,4,1,2,4,3,3,1,1,3,2,2,2,2,2,1,1,2,2,3,3,3,7,7,6,6,5,4,4,4,4,3,2,2,25,30,20,5,0,20,0,2,1,1,2,1,1,1,2,2,2,6,6,5,2,5,5,6,6,6,5,5,6,5,4,6,5,5,6,4,4,2,2,3,2,3,8, , , ,2,1,2,2,2, ,3,2,4,5,98,98,1,1,2,2,3,2,9,2
302830,1,2,23,2,4,5,4,4,3,2,3,3,5,5,5,3,2,3,1,2,4,3,4,2,3,3,3,3,2, ,1,1,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,4,3,4,3,4,3,4,3,3,8,2,3,9,9,2,2,9,4,3,3,5,4,3,3,4,2,3,1,4,5,2,3,3,4,3,3,9,3,9,1,3,2,3,4,1,6,5,6,4,5,5,5,3,4,2,3,2,50,50,50,50,50,40,40,2,2,1,1,1,1,1,1,2,2,5,4,4,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,2,3,3,2,3,5,1,1,1,1,2, , ,5, ,6,8,3,99,99,98,2,2,2,2,9,2,9,2
303119,11,2,65,6,4,5,4,3,4,4,4,5,5,4,5,5,1,2,1,2,4,4,4,3,4,4,4,3,3, ,2,2,1,1,2,2,2,3,3,1,4,4,4,5,2,5,3,1,2,2,5,4,3,4,4,4,3,5,5,4,4,5,2,1,3,2,2,1,3,3,2,3,4,4,4,2,4,1,2,2,3,3,3,2,2,3,3,4,3,2,3,1,1,2,2,4,3,6,7,7,6,6,6,6,4,3,2,3,3,70,60,50,40,10,50,20,1,1,1,2,1,1,1,2,2,2,6,5,2,4,4,2,4,4,7,7,6,6,6,7,6,6,7,6,6,7,2,2,3,2,3,8, , , ,2,1,1,2,4, ,4,6,4,5,98,8,2,2,3,2,2,3,2,3
303873,8,2,27,2,4,4,9,2,2,3,4,4,3,5,5,3,1,2,1,1,4,4,4,4,2,2,3,3,1,4,3,3,1,1,2,2,2,2,2,2,2,3,3,3,2,4,3,3,3,3,3,3,2,4,3,2,2,3,4,3,3,6,3,2,3,2,3,2,2,3,2,1,4,3,4,2,4,2,1,3,3,4,2,9,2,2,2,2,9,2,2,2,3,2,3,2, ,7,5,5,5,6,5,5,3,3,4,4,4,25,75,50,50,0,50,25,2,1,1,2,1,1,1,2,1,1,6,5,7,2,3,4,3,2,3,6,5,4,5,3,6,4,5,5,4,3,2,3,3,3,1,7,1,1,1,2,2, , ,2, ,3,1,4,5,98,98,3,2,9,9,2,9,2,3
304198,6,2,26,2,5,1,2,1,3,3,4,3,3,4,4,2,2,3,3,3,4,3,4,3,4,3,4,4,3,4,3,2,1,1,2,3,2,2,3,2,3,4,4,5,3,3,3,2,2,3,3,3,2,3,4,3,2,2,4,3,2,5,4,2,2,3,2,9,4,4,1,2,3,3,3,3,2,3,3,3,2,3,2,4,4,2,2,4,4,3,3,3,3,2,9,3,1,6,6,6,3,5,5,5,3,4,5,4,4,50,50,50,50,35,40,25,2,2,1,2,1,1,1,1,1,1,5,5,5,2,5,3,6,3,5,5,5,3,5,4,2,3,3,4,5,5,4,2,2,4,3,9, , , ,1,2, , ,5, ,8,2,3,4,98,98,3,2,2,2,2,3,2,2
305100,14,1,42,4,6,1,2,2,3,3,3,3,3,4,4,3,9,3,3,3,3,2,3,3,2,2,2,2,2,1,2,2,2,2,2,3,2,2,3,2,3,2,5,5,1,5,3,1,3,3,3,4,2,3,4,3,2,2,2,4,3,6,2,3,9,3,2,9,4,2,3,2,2,3,3,3,2,4,3,2,3,5,1,4,3,3,2,2,3,3,2,1,1,2,9,3,2,6,6,6,4,5,4,5,4,5,9,2,4,25,50,50,50,50,25,50,2,2,2,2,1,1,1,2,1,2,5,5,5,4,5,2,4,3,6,6,5,6,3,3,4,4,4,4,3,3,3,2,3,3,3,5,1,1,1,2,1,2,1,3, ,6,1,3,3,1, ,2,2,2,2,3,3,2,3
